Order_ID,Customer,City,Amount,Status
1,Peria,Slovenska Bistrica,25,Pending
2,Nadia,Cekcyn,5.49,Delivered
3,Elvyn,Bobolice,3.99,Cancelled
4,Alfreda,Mont-Saint-Aignan,2.99,Pending
5,Weston,Dungkek Laok,4.99,Delivered
6,Pearl,Baton Rouge,19.99,Delivered
7,Yvor,Łyse,3.49,Delivered
8,Emanuel,Purda,19.99,Cancelled
9,Luke,Quixadá,3.29,Cancelled
10,Adolphus,Jiangfang,15.99,Cancelled
11,Gayelord,Kąty Wrocławskie,10.99,Pending
12,Coleman,Wartburg,19.99,Cancelled
13,Gilbert,Kudang,3.49,Delivered
14,Ermanno,Kaduy,34.99,Delivered
15,Arvin,San Pedro,24.99,Delivered
16,Niki,Söderköping,34.99,Cancelled
17,Francene,Vybor,2.49,Delivered
18,Betti,Champigny-sur-Marne,10.99,Pending
19,Ambur,Tugdan,3.49,Cancelled
20,Korie,Dobroměřice,14.99,Delivered
21,Anderson,Kurunegala,6.49,Pending
22,Rickie,Bonavista,5.29,Cancelled
23,Wendel,Chunhu,39.99,Cancelled
24,Morgun,Mataloko,24.99,Cancelled
25,Jewel,San Juan,199.99,Pending
26,Wendall,Batukuta,4.99,Delivered
27,Sean,Tiannan,3.79,Delivered
28,Donella,Banocboc,22.99,Delivered
29,Rosamond,Zhuge,89.99,Pending
30,Timmy,Vilar do Pinheiro,79.99,Cancelled
31,Kaylil,Shawnee Mission,39.99,Delivered
32,Linell,Eisen,49.99,Cancelled
33,Marlin,Leramatang,15.99,Pending
34,Pooh,Châlons-en-Champagne,29.99,Delivered
35,Margarita,Ōi,4.99,Pending
36,Lenard,Tapon,3.79,Pending
37,Anderson,Limatambo,4.99,Cancelled
38,Mylo,Darpas,15.99,Cancelled
39,Roselin,Kesambilerenkrajan,1.29,Cancelled
40,Adoree,Mliwang,18.99,Delivered
41,Eilis,Nangabulik,4.99,Pending
42,Emili,Balazar,4.89,Cancelled
43,Brandice,Prochowice,3.99,Cancelled
44,Cyril,Dongsheng,4.99,Pending
45,Roscoe,San Vicente,2.99,Pending
46,Haley,Boshan,19.99,Delivered
47,Maisey,Sibay,12.99,Delivered
48,Lilyan,Tomigusuku,1.49,Delivered
49,Lindy,Cetinje,34.99,Cancelled
50,Jules,Monte Plata,1.89,Pending
51,Martita,Cabano,3.29,Delivered
52,Eadith,Andoany,5.49,Pending
53,Mathew,Cibeureum Kidul,34.99,Delivered
54,Vick,Kowary,3.99,Pending
55,Evangeline,Kedungtuban,4.79,Delivered
56,Corly,Touho,199.99,Pending
57,Kaiser,Arrentela,59.99,Delivered
58,Anica,Memphis,14.99,Cancelled
59,Howey,Naḥf,4.99,Delivered
60,Rosanna,Jeziora Wielkie,3.49,Cancelled
61,Sherri,Sémé,29.99,Delivered
62,Dilan,Shaba Zhen,9.99,Delivered
63,Neile,Aguelmous,59.99,Cancelled
64,Gusty,Dongfeng,19.99,Cancelled
65,Ritchie,Sakākā,29.99,Pending
66,Bernete,Siumate,3.79,Cancelled
67,Faustine,Cuauhtemoc,2.99,Cancelled
68,Casper,Mniszków,4.29,Delivered
69,Helaine,Krajan Alasdowo,5.49,Cancelled
70,Michaella,Starobin,22.99,Pending
71,Elizabeth,Sogod,12.99,Cancelled
72,Leila,Yambol,6.89,Pending
73,Maiga,Kuala Lumpur,19.99,Pending
74,Anatole,Al Bilād,2.49,Pending
75,Aurie,Kawungsari,3.99,Cancelled
76,Zollie,Muliang,29.99,Delivered
77,Byrom,Al Mazzūnah,44.99,Delivered
78,Arthur,Tashtagol,89.99,Pending
79,Fairleigh,Sieradza,19.99,Pending
80,Lianna,Amarete,45,Delivered
81,Pepita,Owo,7.99,Cancelled
82,Cassi,Raposos,3.89,Cancelled
83,Cletis,New York City,19.99,Cancelled
84,Karon,Bromont,3.49,Pending
85,Stevena,Shums’k,79.99,Cancelled
86,Ted,Kobiernice,1.99,Pending
87,Sharron,Toulouse,39.99,Cancelled
88,Daron,Dzüünbulag,14.99,Pending
89,Angele,Itapaci,59.99,Cancelled
90,Melony,Yuncheng,34.99,Delivered
91,Bernard,Rzeszów,4.99,Pending
92,Nell,San Miguel,1.99,Cancelled
93,Morissa,Saint-Brieuc,3.99,Cancelled
94,Yoko,Pelem,34.99,Delivered
95,Etan,Mojolampir,2.99,Pending
96,Yvon,Wangchang,4.99,Delivered
97,Jobina,Balogo,3.99,Delivered
98,Micky,Zhongxian,2.99,Delivered
99,Fidel,Loshnitsa,2.99,Delivered
100,Lyell,Zigong,4.99,Cancelled
101,Vanny,Basoko,19.99,Delivered
102,Julee,Changma,5.99,Delivered
103,Verena,Chambellan,2.99,Pending
104,Gerome,Pingyao,4.99,Delivered
105,Glori,Toutuo,3.79,Delivered
106,Padriac,Náklo,139.99,Delivered
107,Patten,Laohugang,44.99,Delivered
108,Mariann,Khondāb,2.49,Delivered
109,Sonya,Pagelaran,3.89,Pending
110,Allyson,Hondo,5.99,Pending
111,Dulcy,Sukasari,49.99,Pending
112,Gwenora,San Marcos,29.99,Delivered
113,Eldredge,Francistown,6.99,Pending
114,Ignatius,Masaki-chō,24.99,Delivered
115,Fayina,Dongshangen,2.89,Pending
116,Cozmo,Kaduela,14.99,Cancelled
117,Padgett,Shanlian,5.99,Pending
118,Rosella,Diang,49.99,Cancelled
119,Pauli,Kokologo,29.99,Delivered
120,Elset,Tawaran,34.99,Delivered
121,Wendie,Jiujianfang,10.99,Pending
122,Matthiew,Kopashnovo,22.99,Cancelled
123,Tom,Yuecheng,39.99,Pending
124,Livvyy,Belfast,8.99,Pending
125,Viva,Ambarita,35.99,Pending
126,Mercie,Shuishiying,39.99,Pending
127,Renault,San Miguel Ixtahuacán,4.29,Pending
128,Carley,Watuweri,49.99,Pending
129,Cordy,Hässelby,4.99,Pending
130,Milton,Bentar,3.99,Delivered
131,Tobe,Hamburg,39.99,Pending
132,Mitch,As Samawah,2.79,Pending
133,Raul,Casal dos Bernardos,8.99,Cancelled
134,Stevie,Tambo,2.29,Delivered
135,Kerianne,Odolanów,39.99,Delivered
136,Arlen,Enewetak,24.99,Pending
137,Ginny,Seixo Alvo,4.49,Delivered
138,Chester,Nanwai,29.99,Delivered
139,Thoma,Ma’an,359.99,Pending
140,Virge,Jaen,15.99,Pending
141,Vivian,Sukoanyar,39.99,Delivered
142,Aguistin,Sterlibashevo,4.99,Cancelled
143,Tomas,Kaminoyama,2.79,Pending
144,Andros,Cipolletti,3.99,Pending
145,Ailene,Beigou,2.49,Cancelled
146,Sonnie,Boituva,29.99,Delivered
147,Christos,Luebo,4.29,Cancelled
148,Johan,Savyon,3.79,Pending
149,Babbette,Ordem,39.99,Delivered
150,Bret,Kréstena,39.99,Pending
151,Aloysius,Tsagaannuur,2.59,Cancelled
152,Kenna,Prinza,3.99,Cancelled
153,Marleen,West Palm Beach,2.99,Delivered
154,Biron,Uherský Brod,39.99,Cancelled
155,Darryl,Santa María de Caparo,2.49,Pending
156,Barde,Pakxé,19.99,Pending
157,Thorny,Longtan,3.59,Pending
158,Timmie,Mitsukaidō,5.99,Cancelled
159,Arline,Naga,79.99,Pending
160,Krystle,Pare,99.99,Delivered
161,Krystalle,Jepat Kidul,39.99,Pending
162,Lacy,Ouahigouya,3.99,Delivered
163,Hendrika,Kuanchuan,79.99,Delivered
164,Nell,Kuniran,3.49,Cancelled
165,Baryram,San Diego,1.89,Cancelled
166,Colline,Loyola,6.29,Delivered
167,Robin,San Juan,49.99,Delivered
168,Hally,Aramayuan,3.39,Delivered
169,Abigail,Quesada,45,Cancelled
170,Gretchen,Staraya Kupavna,12.99,Pending
171,Isadore,Xilanqi,5.99,Pending
172,Maxie,Mulawato,49.99,Pending
173,Hallsy,Banjar Paangkelod,2.49,Pending
174,Sigismund,Wąwolnica,149.99,Pending
175,Morgen,Sumberejo,129.99,Delivered
176,Austina,Tonshayevo,24.99,Pending
177,Ezechiel,Monte Azul Paulista,2.49,Cancelled
178,Shelli,Enköping,44.99,Cancelled
179,Henrie,Marabahan,29.99,Delivered
180,Mathilde,Emmen,12.99,Pending
181,Devin,Liangli,6.99,Cancelled
182,Wolfy,Morris,32.99,Cancelled
183,Philomena,Gemuruh,3.49,Cancelled
184,Ynes,Chone,4.29,Pending
185,Alleyn,Baffa,2.99,Delivered
186,Jocelyne,Vitória,24.99,Delivered
187,Venus,Hyltebruk,39.99,Delivered
188,Antonin,Mungo,39.99,Pending
189,Blaire,Cibalieur,4.99,Cancelled
190,Ced,Yuzawa,2.49,Delivered
191,Durand,Simi Valley,12.99,Cancelled
192,Waylan,Kuhmalahti,29.99,Pending
193,Hedvig,Dois Vizinhos,1.79,Cancelled
194,Cara,Woshui,5.49,Pending
195,Belvia,Jinkou,14.99,Cancelled
196,Collie,Oncativo,3.99,Delivered
197,Cass,Nueva Loja,34.99,Cancelled
198,Isabel,Modis,3.29,Pending
199,Tadeo,Luobei,3.99,Pending
200,Jordan,Sawangan,4.99,Pending
201,Petra,Bells Corners,119.99,Cancelled
202,Cherie,Budapest,1.29,Pending
203,Neil,Nouâdhibou,3.49,Pending
204,Rayna,San Rafael Abajo,39.99,Delivered
205,Drud,Villamaría,19.99,Pending
206,Ginny,Guadalupe,19.99,Delivered
207,Wood,Lexington,99.99,Pending
208,Phyllis,Stupsk,8.99,Delivered
209,Mellie,Xiaba,59.99,Pending
